HORA,JANELA_ATIVA (O que o usuário vê),PROCESSO_DA_JANELA,PID,MEMORIA_RAM(MB),SITE_DETECTADO (Via Título/Rede),PORTAS_ABERTAS (LISTEN),CONEXOES_EXTERNAS (IPs)
13:22:27,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.5,-,,191.239.243.77:9322
13:22:28,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.3,-,,191.239.243.77:9322
13:22:29,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.3,-,,191.239.243.77:9322
13:22:30,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,103.7,-,,191.239.243.77:9322
13:22:31,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.3,-,,191.239.243.77:9322
13:22:32,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.1,-,,191.239.243.77:9322
13:22:33,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.1,-,,191.239.243.77:9322
13:22:34,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.1,-,,191.239.243.77:9322
13:22:35,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.3,-,,191.239.243.77:9322
13:22:36,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.5,-,,191.239.243.77:9322
13:22:37,Finalizar fatura,Desktop.exe,23376,106.2,-,,191.239.243.77:9322
13:22:38,Finalizar fatura,Desktop.exe,23376,106.2,-,,191.239.243.77:9322
13:22:39,Finalizar fatura,Desktop.exe,23376,106.5,-,,191.239.243.77:9322
13:22:40,Finalizar fatura,Desktop.exe,23376,106.5,-,,191.239.243.77:9322
13:22:41,Finalizar fatura,Desktop.exe,23376,106.5,-,,191.239.243.77:9322
13:22:42,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.7,-,,191.239.243.77:9322
13:22:43,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,106.7,-,,191.239.243.77:9322
13:22:44,HeadCARGO HEADSOFT TESTES - [Operacional],Desktop.exe,23376,107.0,-,,191.239.243.77:9322
13:22:45,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,107.1,-,,191.239.243.77:9322
13:22:46,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,119.4,-,,191.239.243.77:9322
13:22:47,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,119.5,-,,191.239.243.77:9322
13:22:48,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,119.5,-,,191.239.243.77:9322
13:22:49,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,119.5,-,,191.239.243.77:9322
13:22:50,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,5.6,-,,191.239.243.77:9322
13:22:51,HeadCARGO HEADSOFT TESTES - [CRM],Desktop.exe,23376,6.9,-,,191.239.243.77:9322
